"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"CHECK_PRICES";"COPYRIGHT";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"SF_SKU";"SNAPEDA_LINK";"SPICEPREFIX";"TP_SIGNAL_NAME";
"1";"";"MA04-1";"MA04-1";"SV1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"41";"";"";"";"";"";"";"";
"1";"";"MA05-2";"MA05-2";"SV2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"14";"";"";"";"";"";"";"";
"8";"0";"R-EU_R0805";"R0805";"R9, R10, R12, R13, R14, R15, R16, R308";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"";"R";"";
"2";"100n";"C-EUC0805K";"C0805K";"C302, C303";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";"";"C";"";
"1";"100n, 6.3V";"C-EUC0805K";"C0805K";"C5";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";"";"C";"";
"1";"10M";"R-EU_R0805";"R0805";"R307";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"";"R";"";
"3";"10k";"R-EU_R0805";"R0805";"R8, R17, R312";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"";"R";"";
"1";"10u";"C-EUC0805";"C0805";"C10";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"";"C";"";
"1";"10u, 6.3V";"C-EUC0805K";"C0805K";"C2";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";"";"C";"";
"6";"1k";"R-EU_R0805";"R0805";"R2, R302, R304, R306, R311, R320";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"";"R";"";
