Comment,Designator,Footprint,LCSC Part #
AMS1117,U2,SOT-223,
1k,R2 R3 R4,R0805,
1u  6.3V,C1,C0805,
1u  6.3V,C4,C0805,
1u  6.3V,C8,C0805,
1u  6.3V,C9,C0805,
3A/10V/280mV,D1,SOD-323,
4.7u  6.3V,C3,C0805,
10k,R5 R6 R7,R0805,
10u  6.3V,C2,C0805,
15p  6.3V,C6,C0805,
15p  6.3V,C7,C0805,
32.768kHz,X1,XTAL3215,
33,R1 R10 R11 R12 R13,R0805,
100n  6.3V,C5,C0805,
ATSAMD21E18A-AUTQFP32_MC_MCH-M,U1,TQFP32_MC_MCH-M,
GREEN,PWR,CHIPLED_0805,
MCP9700TT,U4,SOT23-3,
MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM,RESET,TACTILE_SWITCH_SMD_6.0X3.5MM,
RED,LED,CHIPLED_0805,
